,week,year,county,count,incidence
3168,52,2016,LK Jerichower Land,2,85.0172981
3169,52,2016,LK Kaiserslautern,1,34.67005663
3170,52,2016,LK Karlsruhe,1,6.690355481
3171,52,2016,LK Kassel,3,39.65192904
3172,52,2016,LK Kitzingen,1,28.33753149
3173,52,2016,LK Kleve,3,41.79480882
3174,52,2016,LK Konstanz,2,27.51443848
3175,52,2016,LK Lahn-Dill-Kreis,1,13.7382557
3176,52,2016,LK Landsberg a.Lech,1,22.93314987
3177,52,2016,LK Leer,1,21.80364605
3178,52,2016,LK Leipzig,2,19.08936586
3179,52,2016,LK Limburg-Weilburg,3,60.70975096
3180,52,2016,LK Lindau,1,46.88232536
3181,52,2016,LK Lippe,1,8.80880489
3182,52,2016,LK Ludwigsburg,6,37.50583452
3183,52,2016,LK Lšrrach,4,57.40198879
3184,52,2016,LK LŸchow-Dannenberg,1,66.20080912
3185,52,2016,LK Main-Kinzig-Kreis,1,8.66109149
3186,52,2016,LK Main-Tauber-Kreis,2,49.40740777
3187,52,2016,LK Main-Taunus-Kreis,1,10.49642247
3188,52,2016,LK Mainz-Bingen,1,33.90149732
3189,52,2016,LK Mei§en,3,45.87940351
3190,52,2016,LK Merzig-Wadern,1,25.14739166
3191,52,2016,LK Mettmann,9,60.12409023
3192,52,2016,LK Miltenberg,1,26.32002223
3193,52,2016,LK Minden-LŸbbecke,1,8.509833585
3194,52,2016,LK Mittelsachsen,3,28.17675761
3195,52,2016,LK MŠrkischer Kreis,4,29.40822463
3196,52,2016,LK MŸhldorf a.Inn,2,74.74311123
3197,52,2016,LK MŸnchen,6,77.44241944
3198,52,2016,LK Neckar-Odenwald-Kreis,3,70.51267868
3199,52,2016,LK Neu-Ulm,2,41.56731613
3200,52,2016,LK Neuburg-Schrobenhausen,2,82.80299264
3201,52,2016,LK Neumarkt i.d.OPf.,2,56.35486345
3202,52,2016,LK Neunkirchen,1,20.17643169
3203,52,2016,LK Neustadt/Aisch-Bad Windsheim,2,77.98948749
3204,52,2016,LK Nordfriesland,2,47.56909261
3205,52,2016,LK Nordsachsen,3,47.37052933
