,county,X,Y,BinX,BinY
145,LK Sächsische Schweiz-Osterzgebirge,13.898876999999999,50.93512659,14,7
146,LK Leipzig,12.56012099,51.21917503,11,8
147,LK Nordsachsen,12.73341566,51.50774466,12,8
148,LK Starnberg,11.28948897,47.98903175,9,1
149,LK München,11.62689387,48.09397884,10,2
150,LK Lindau,9.853905439,47.59909659,7,1
151,LK Bodenseekreis,9.414845587,47.74277132,6,1
152,LK Landsberg a.Lech,10.93797494,48.02392684,9,1
153,SK Halle,11.97334237,51.47775484,10,8
154,LK Saalekreis,11.93882852,51.60638317,10,9
155,LK Altötting,12.70357124,48.21606851,12,2
156,LK Rottal-Inn,12.83641293,48.44287554,12,2
157,SK Ingolstadt,11.39561309,48.75766715,9,3
158,LK Eichstätt,11.39248759,48.89784636,9,3
159,LK Cham,12.672938400000001,49.22430336,12,4
160,LK Gotha,10.69394067,50.90878869,8,7
161,LK Kitzingen,10.293139300000002,49.75479546,8,5
162,LK Neustadt/Aisch-Bad Windsheim,10.46658067,49.56632565,8,5
163,LK Freising,11.74891157,48.45388349,10,2
164,SK Rosenheim,12.10760039,47.84382971,11,1
165,LK Rosenheim,12.2596389,47.96651024,11,1
166,LK Diepholz,8.739002191,52.74783763,5,11
167,LK Rhein-Neckar-Kreis,8.900597803,49.50474932,5,4
168,LK Karlsruhe,8.548759352000001,49.03666902,5,3
169,LK Mainz-Bingen,8.08200023,49.92117144,4,5
170,LK Rhein-Hunsrück-Kreis,7.484318045,50.04406903,3,5
171,LK Neckar-Odenwald-Kreis,9.285224519,49.46778434,6,4
172,LK Nordfriesland,9.114426279,54.87523833,6,15
173,LK Neuburg-Schrobenhausen,11.21302825,48.6566017,9,3
174,LK Saarlouis,6.769999877999999,49.36907204,2,4
175,LK Zollernalbkreis,8.939526246,48.25988985,5,2
176,LK Sigmaringen,9.262390337000001,48.04993413,6,1
177,LK Trier-Saarburg,6.697399572,49.70835048,1,5
178,LK Pfaffenhofen a.d.Ilm,11.52062357,48.61198821,10,3
179,LK Donau-Ries,10.70433724,48.80766878,8,3
180,LK Saale-Holzland-Kreis,11.71032837,50.90483202,10,7
181,LK Lörrach,7.788603827,47.70943661,3,1
182,LK Ilm-Kreis,10.97384601,50.72033538,9,7
183,LK Vogelsbergkreis,9.299452951000001,50.62823921,6,7
184,SK Kaufbeuren,10.62027833,47.88226734,8,1
185,LK Prignitz,12.03160485,53.08578536,10,12
